S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.56628	0.34952	-1.9965e-004	0.	4.9669e+005
0.56778	0.34802	-2.9768e-004	0.	4.9172e+005
0.56927	0.34653	-3.944e-004	0.	4.8666e+005
0.57077	0.34504	-4.8978e-004	0.	4.8147e+005
0.57226	0.34355	-5.8365e-004	0.	4.7615e+005
0.57376	0.34205	-6.76e-004	0.	4.7073e+005
0.57525	0.34056	-7.6669e-004	0.	4.6518e+005
0.57675	0.33907	-8.5564e-004	0.	4.5953e+005
0.57825	0.33758	-9.4279e-004	0.	4.5376e+005
0.57974	0.33608	-1.028e-003	0.	4.4788e+005
0.58124	0.33459	-1.1112e-003	0.	4.419e+005
0.58273	0.3331	-1.1924e-003	0.	4.358e+005
0.58423	0.3316	-1.2716e-003	0.	4.2961e+005
0.58572	0.33011	-1.3489e-003	0.	4.2331e+005
0.58722	0.32862	-1.4243e-003	0.	4.169e+005
0.58871	0.32712	-1.4982e-003	0.	4.104e+005
0.59021	0.32563	-1.5706e-003	0.	4.038e+005
0.5917	0.32414	-1.6419e-003	0.	3.971e+005
0.5932	0.32264	-1.7124e-003	0.	3.9032e+005
0.59469	0.32115	-1.7821e-003	0.	3.8342e+005
0.59619	0.31966	-1.8517e-003	0.	3.7644e+005
0.59768	0.31816	-1.9212e-003	0.	3.6937e+005
0.59918	0.31667	-1.9905e-003	0.	3.622e+005
0.60068	0.31517	-2.06e-003	0.	3.5495e+005
0.60217	0.31368	-2.1295e-003	0.	3.476e+005
0.60367	0.31219	-2.1993e-003	0.	3.4017e+005
0.60516	0.31069	-2.2694e-003	0.	3.3264e+005
0.60666	0.3092	-2.3396e-003	0.	3.2503e+005
0.60815	0.30771	-2.4101e-003	0.	3.1732e+005
0.60965	0.30621	-2.4809e-003	0.	3.0952e+005
0.61114	0.30472	-2.5518e-003	0.	3.0163e+005
0.61264	0.30323	-2.623e-003	0.	2.9365e+005
0.61413	0.30173	-2.6943e-003	0.	2.8558e+005
0.61563	0.30024	-2.7659e-003	0.	2.7742e+005
0.61712	0.29874	-2.8376e-003	0.	2.6916e+005
0.61862	0.29725	-2.9094e-003	0.	2.6081e+005
0.62011	0.29576	-2.9813e-003	0.	2.5237e+005
0.62161	0.29426	-3.0533e-003	0.	2.4384e+005
0.62311	0.29277	-3.1254e-003	0.	2.3522e+005
0.6246	0.29128	-3.1976e-003	0.	2.265e+005
0.6261	0.28978	-3.2698e-003	0.	2.1769e+005
0.62759	0.28829	-3.342e-003	0.	2.0878e+005
0.62909	0.2868	-3.4143e-003	0.	1.9979e+005
0.63058	0.2853	-3.4865e-003	0.	1.907e+005
0.63208	0.28381	-3.5587e-003	0.	1.8152e+005
0.63357	0.28231	-3.6309e-003	0.	1.7224e+005
0.63507	0.28082	-3.703e-003	0.	1.6288e+005
0.63656	0.27933	-3.7751e-003	0.	1.5342e+005
0.63806	0.27783	-3.8471e-003	0.	1.4387e+005
0.63955	0.27634	-3.919e-003	0.	1.3422e+005
0.64105	0.27485	-3.9908e-003	0.	1.2448e+005
0.64254	0.27335	-4.0625e-003	0.	1.1465e+005
0.64404	0.27186	-4.1342e-003	0.	1.0473e+005
0.64554	0.27037	-4.2057e-003	0.	94720
0.64703	0.26887	-4.2772e-003	0.	84614
0.64853	0.26738	-4.3486e-003	0.	74416
0.65002	0.26589	-4.4198e-003	0.	64127
0.65152	0.26439	-4.491e-003	0.	53746
0.65301	0.2629	-4.5621e-003	0.	43274
0.65451	0.2614	-4.6332e-003	0.	32710
0.656	0.25991	-4.7041e-003	0.	22054
0.6575	0.25842	-4.7751e-003	0.	11308
0.65899	0.25692	-4.8459e-003	0.	470.11
0.66049	0.25543	-4.9168e-003	0.	-10459
0.66198	0.25394	-4.9876e-003	0.	-21479
0.66348	0.25244	-5.0585e-003	0.	-32590
0.66497	0.25095	-5.1293e-003	0.	-43792
0.66647	0.24945	-5.2001e-003	0.	-55085
0.66797	0.24796	-5.271e-003	0.	-66469
0.66946	0.24647	-5.3419e-003	0.	-77944
0.67096	0.24497	-5.4128e-003	0.	-89510
